id;CourseCode;Name;DepartmentName;SemesterName;SemesterType;ECTS;Description;TeachingLanguage;Prerequisite
11;T-303-VERD;Verðbréf;Verkfræðideild;Haustönn 2022;12V;6;"<p><strong>Stig námskeiðs: &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </strong>2. Grunnnám, framhaldsnámskeið.&nbsp;<br><strong>Tegund námskeiðs:</strong> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Skyldunámskeið fjármálaverkfræði.<br><strong>Nauðsynlegir undanfarar: </strong>Fjármálaverkfræði – inngangur (T-101-INNF), Stærðfræði I &amp; II (T-101-STA1 og T-201-&nbsp;STA2), Línuleg algebra (T-211-LINA).&nbsp; Aðrir ráðlagðir undanfarar: Góð kunnátta í excel,&nbsp;Matlab og/eða Python.</p><p>Viðfangsefni námskeiðsins er verðmat fjárfestinga og ákvarðanafræði og gera nemendur færa um að skilja og beita helstu hugtökum á þessum sviðum.<br>Efnistök námskeiðsins eru: greiðsluflæði, tímagildi peninga, vaxta- og ávöxtunarútreikningar, meðallíftími, vaxtaferlar, framvirkir vextir, samval verðbréfa, framfall eignasafna, CAPM og árangursmat.&nbsp; Einnig verða vaxtaskiptasamningar kynntir&nbsp;og álagspróf.</p><p><br><strong>Lesefni:&nbsp; &nbsp;&nbsp;</strong>David Luenberger, <em>Investment Science.</em></p>";Enska;1
12;T-306-RAS1;Greining rása;Verkfræðideild;Haustönn 2022;12V;6;"<p><strong>Level of course:</strong> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 2. First cycle, intermediate.<br><strong>Type of course: &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </strong>Mandatory course for mechatronics engineering, biomedical engineering, electric power engineering, energy engineering, mechanical engineering.<br><strong>Mandatory prerequisites: </strong>Calculus I (T-101-STA1), Physics I (T-102-EDL1), Physcis II (T-202-EDL2).</p><ul><li>Basic concepts of charge, current, power and energy.</li><li>Circuit elements, including different types of sources.</li><li>Basic laws, including Ohm’s and Kirchhoff’s laws.</li><li>Series and parallel connections, and Delta and Wye transformations.</li><li>Circuit analysis methods; node voltage and mesh current methods.</li><li>Circuit theorems; superposition, source transformation, Thevenin’s and Norton’s theorems and maximum power transfer.</li><li>Operational amplifiers (Op-Amp) and its basic circuits.</li><li>Inductors and capacitors and series and parallel combinations.</li><li>First order RL and RC circuits, and the natural, forced and steady-state responses.</li><li>Second order series and parallel RLC circuits.</li><li>Concepts of phasors and impedances for AC sinusoidal analysis</li><li>Circuits methods and theorems for AC sinusoidal steady-state and AC power analysis</li><li>Frequency response; resonance conditions, transfer functions and frequency filters</li></ul><p><strong>Reading material: </strong></p><ul><li><strong>Textbook</strong>:&nbsp;Fundamentals of Electric Circuits, C. K. Alexander and M. N. O. Sadiku, Mc Graw Hill 6th edition, 2016 (Chapters: 01-11 and 14).</li><li><strong>Lecture Slides</strong>: Mainly from the textbook.</li><li><strong>Homework Assignments and Experiments</strong></li></ul><p>The course supervisor is Mohamed Abdelfattah.</p>";Enska;1
13;T-307-HEIL;Eðlisfræði III;Verkfræðideild;Haustönn 2022;12V;6;"<p><strong>Stig námskeiðs:</strong> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 2. Grunnnám, framhaldsnámskeið.<br><strong>Tegund:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </strong>Skyldunámskeið heilbrigðisverkfræði.<br><strong>Nauðsynlegir undanfarar: </strong>Stærðfræði I (T-101-STA1), Eðlisfræði II (T-202-EDL2).</p><p>Eðlisfræðin eykur skilning á umhverfi okkar, náttúrunni og tækninni, og gefur innsýn sem hvetur og styður við skapandi hugsun við lausn verkefna. Tækniframfarir síðustu aldar, og enn í dag, byggja að verulegu leyti á skilningi á minnstu efniseindunum eins og ljóseindum og rafeindum, og agnar-bylgju-tvíeðli þeirra. Ljóstækni er mikilvæg, samanber t.d. síaukna beitingu laser-ljóss í okkar nánasta umhverfi og myndatökum af öllu mögulegu. Geislavirkni kemur við sögu hvort sem um er að ræða læknisfræðilega greiningu og meðferð, eða umhverfismál og mögulegar orkulindir framtíðarinnar – og því er eðlilegt að skoða um leið takmörkuðu afstæðiskenninguna. Efni námskeiðsins byggist að verulegu leyti á störfum vísindamanna í byrjun 20. aldar, og þess vegna er oft vísað í efnið sem „nútíma eðlisfræði“.</p><p><strong>Lesefni: &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </strong>Young and Freedman, <em>University Physics With Modern Physics.</em></p>";Íslenska;1
14;T-316-LABB;Mælikerfi;Verkfræðideild;Haustönn 2022;3V;6;"<p><strong>Level of course: </strong>&nbsp;2. Undergraduate (First cycle), intermediate.<br><strong>Type of course:&nbsp; </strong>Core HÁV, HEV, OV, RAV, VV.<br><strong>Prerequisites (mandatory):&nbsp; </strong>Analog Circuit Analysis (T-306-RAS1).&nbsp; Other recommended prerequisites: Differential equations (T-301-MATH), Statistics (T-302-TOLF).&nbsp;&nbsp;</p><p>This course introduces the essential general characteristics of measuring devices, data acquisition systems, uncertainty analysis, on how to use uncertainty analysis as a tool to design experiments, and sampling and spectral analysis. Planning and executing experiments, and report writing are also covered.</p><p><strong>Reading material: </strong>To be decided.</p>";Enska;1
15;T-403-ADGE;Aðgerðagreining;Verkfræðideild;Haustönn 2022;12V;6;"<p><strong>Stig námskeiðs: &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </strong>2. Grunnnám, framhaldsnámskeið.<br><strong>Tegund námskeiðs:</strong> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Skyldunámskeið fjármálaverkfræði, rekstrarverkfræði.<br><strong>Nauðsynlegir undanfarar:</strong> Stærðfræði I (T-101-STA1), Línuleg algebra (T-211-LINA), Tölfræði I (T-302-TOLF).</p><p>Helstu aðferðir aðgerðagreiningar verða kynntar. Línuleg bestun og næmnigreining, heiltölubestun, verkniðurröðun og netlíkön. Notkun bestunarforrita við lausn á verkefnum.&nbsp; Kennt á íslensku.</p><p><strong>Lesefni: </strong>Hillier &amp; Lieberman, <em>Introduction to Operation Research, </em>útg. McGraw Hill Education.</p>";Íslenska;1
16;T-403-RAFO;Hermun raforkukerfa;Verkfræðideild;Haustönn 2022;12V;6;"<p><strong>Stig námskeiðs:</strong>&nbsp; Grunnnám, sérhæft námskeið.<br><strong>Tegund námskeiðs: </strong>Skyldunámskeið í rqaforkuverkfræði.<br><strong>Nauðsynlegir undanfarar: </strong>Greining rása (T-306-RAS1), Rafsegulfræði og hálfleiðarar (RT EXH1013/T-301-RASE).</p><p>Almenn hugtök og efni sem fjallað er um ; Tvinnafl, launafl, raunafl, 3-fasa kerfi, augnabliksgildi, vísar, línuspenna, fasaspenna, stjörnu- og deltatengingar.&nbsp;&nbsp;Aflspennirinn; Rásalíkan af spenni, kjörspennir, per-unit kerfið, þriggja fasa spennir, fasvik, tappastillar, autospennir.&nbsp;&nbsp;Háspennulínur; Helstu þættir varðandi hönnun háspennulína, viðnám, rýmd og span í leiðurum og almennar aðferðir til útreikninga.&nbsp;&nbsp;Aflflæði í raforkukerfum; Aflflæðiútreikningar og mismunandi aðferðir til slíks. Reikniverkefni.&nbsp;Skammhlaupsgreining; Farið yfir aðferðir við útreikninga á 3-fasa jafnlægu skammhlaupi. Skammhlaupsafl, fylkjaaðferðir.</p><p><strong>Lesefni: </strong>Glover, Sarma, Overbye, <em>Power System Analysis and Design</em>.</p>";Íslenska;1
17;T-406-TOLU;Töluleg greining;Verkfræðideild;Haustönn 2022;3V;6;"<p><strong>Stig námskeiðs:</strong>&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 3. Grunnnám, sérhæft námskeið / 4. Framhaldsnám, inngangsnámskeið.<br><strong>Tegund námskeiðs:</strong>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Skyldunámskeið fjármálaverkfræði og rekstrarverkfræði á 3. ári. Skyldunámskeið heilbrigðisverkfræði og vélaverkfræði á&nbsp;4. ári (þ.e. á fyrsta ári&nbsp;meistaranáms).<br><strong>Nauðsynlegir undanfarar:</strong> Stærðfræði I (T-101-STA1), Stærðfræði II (T-201-STA2),&nbsp; Línuleg Algebra (T-211-LINA), Forritun fyrir verkfræðinema (T-201-FOR1), Stærðfræði III (T-301-MATH).</p><p>Undirstöðuatriði tölulegrar greiningar og notkun á þeim. Nálganir og skekkjumat. Tölulegar aðferðir til að leysa jöfnur og finna lægsta gildi falls. Tölulegar lausnir á línulegum og ólínulegum jöfnuhneppum. Margliðubrúun. Línuleg aðhvarfsgreining fyrir gagnasöfn. Töluleg diffrun og heildun. Tölulegar lausnir á upphafs- og jaðargildisverkefni fyrir venjulegar diffurjöfnur og diffurjöfnuhneppi. Undirstöðuatriði bútaaðferðar við lausn á diffurjöfnum. Áhersla er lögð á hagnýta forritun til að leysa stærðfræðileg verkefni sem koma upp í verkfræðinni.&nbsp;</p><p><strong>Lesefni:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </strong>Timothy Sauer, <em>Numerical Analysis</em>. Fyrirlestrarnótur frá kennara<em>.</em></p>";Íslenska;1
18;T-407-EFNI;Efnisfræði;Verkfræðideild;Haustönn 2022;12V;6;"<p><strong>Stig námskeiðs: </strong>2. Grunnnám, framhaldsnámskeið.<br><strong>Tegund námskeiðs: </strong>Skyldunámskeið orkuverkfræði, vélaverkfræði.<br><strong>Nauðsynlegir undanfarar: </strong>Efnafræði (T-204 EFNA).</p><p>Grundvallaratriði varðandi byggingu og eiginleika efna er snerta verkfræðileg notagildi eru kynnt. Efnisflokkar málma og melma, keramískra efni, fjölliða og samsetninga eru teknir fyrir. Raf-, hita-, efna- og afl-fræðilegir eiginleikar eru skýrðir út frá smásærri kristalla- og sameindabyggingu efnanna. Notkunarmöguleikar við líf- og læknisfræðilegir aðstæður eru reifaðar. Helstu aðferðir við prófun og greiningu á eiginleikum efna og aðferðir til að stjórna eiginleikunum eru kynntar. Forsendur tæringar og fyrirbygging hennar er tekin fyrir og kenndur er aflestur og notkun fasalínurita fyrir tveggja og þriggja þátta melmi. Aðkoma efnisfræðinnar að örtækni er einnig tekin fyrir.</p><p><strong>Lesefni:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </strong>William F. Smith and Javad Hashemi,&nbsp;<em>Foundation of Materials Science and Engineering.</em></p>";Íslenska;1
19;T-411-MECH;Mechatronics I;Verkfræðideild;Haustönn 2022;12V;6;"<p><strong>Stig námskeiðs:</strong> 3. Grunnnám, sérhæft námskeið.<br><strong>Tegund námskeiðs:&nbsp;</strong>Skyldunámskeið hátækniverkfræði.<br><strong>Nauðsynlegir undanfarar: </strong>Forritun í C++ (T-208-FOR2) eða Python (T-111-PROG eða T-201-FOR1). <strong>Aðrir ráðlagðir undanfarar:</strong> Greining rása (T-306-RAS1); Stöðu- og burðarþolsfræði (T-106-BURD); Tölvuhögun (T-107-TOLH, hægt að taka samhliða).&nbsp;</p><p>This is an introduction to Mechatronics, the technique of interfacing software, electronics, and mechanical components. We will be utilizing the Raspberry Pi single-board linux microcontroller and Arduino as our focus. Students will have pay a fee for their personal lab kit which includes some shared parts for team-based labs. The chosen textbook is required for the course and critical to completing the Lab assignments.&nbsp;<br>We will begin with an introduction to linux and software engineering. This includes C++, python, and Subversion (for collaboration). &nbsp;We will then shift to electronics design, implementation, and testing. We will cover both analog and digital electronics with a focus on interfacing to sensors and actuators. Students will be designing and building PCB boards using Altium to integrate the electronics being developed. &nbsp;Students will choose a final mechatronics team project to be presented at the end of the semester. This project should involve manufacturing mechanical elements and interfacing them with the microcontrollers to demonstrate their mastery of the subject. Students will be spending a good deal of time in the Electronics Lab in V207 and Machine Shop building projects. This means that each student should have gone through safety training in the labs as a prerequisite. If you are an exchange student, contact the Teaching Assistants about setting up a safety training session so you can use the facilities.&nbsp;<br><br></p><p><strong>Textbook/ Lesefni:</strong> <em>Exploring Raspberry Pi: Interfacing to the Real World with Embedded Linux</em> by Derek Molloy, published by John Wiley and Sons in 2016.</p><p><br></p>";Enska;1
20;T-501-FINA;Inngangur að fjármálum fyrirtækja;Verkfræðideild;Haustönn 2022;12V;6;"<p><strong>Stig námskeiðs:</strong> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 1. Grunnnám, grunnnámskeið.<br><strong>Tegund námskeiðs:</strong> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Skyldunámskeið RV.<br><strong>Nauðsynlegir undanfarar: </strong>Stærðfræði I &amp; II (T-101-STA1 og T-201-STA2). Aðrir ráðlagðir undanfarar: Góð kunnátta í Excel.</p><p>Námskeiðið fjallar heildstætt um fjármál fyrirtækja þar sem farið er í mikilvæg hugtök eins og vexti, núvirðingu, og framvirkt verð, áhættu tengt framtíðar sjóðsstreymi og ávöxtunarkröfu, skilvirkni markaða, fjármagnshögun, fjármögnunarleiðir, greiningu ársreikninga, sjóðstreymisáætlanir, langtímaáætlanir, samspil áætlana og stefnumótunar sem og kaup og samruna.&nbsp;</p><p><strong>Lesefni: </strong>Richard A. Brealey&nbsp;og&nbsp;Stewart C. Myers, <em>Principles of Corporate Finance</em>.</p>";Íslenska;1
